*Server name,IP addresses,*Cores,*Memory (In MB),*OS name,OS version,OS architecture,Server type,Hypervisor,CPU utilization percentage,Memory utilization percentage,Network adapters,Network In throughput,Network Out throughput,Boot type,Number of disks,Storage in use (In GB),Disk 1 size (In GB),Disk 1 read throughput (MB per second),Disk 1 write throughput (MB per second),Disk 1 read ops (operations per second),Disk 1 write ops (operations per second),Disk 2 size (In GB),Disk 2 read throughput (MB per second),Disk 2 write throughput (MB per second),Disk 2 read ops (operations per second),Disk 2 write ops (operations per second)
pro-VM80-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM81-D8,,8,8192,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM82-D8,,8,8192,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM83-D8,,8,8192,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM84-D8,,8,8192,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM85-D8,,8,8192,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM86-D8,,8,8192,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM87-D8,,8,8192,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM88-D8,,8,8192,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM89-D8,,8,8192,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM90-D8,,8,8192,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM91-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM92-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM93-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM94-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM95-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM96-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM97-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM98-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM99-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM100-D16,,16,16384,Ubuntu,,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
pro-VM101-D16,,16,16384,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM102-D16,,16,16384,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM103-D16,,16,16384,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM104-D16,,16,16384,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM105,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM106,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM107,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM108,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM109,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM110,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM111,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM112,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM113,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM114,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM115,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
pro-VM116,,4,4096,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
